iter	Passed	Remaining
0	1	130
1	2	122
2	3	118
3	4	119
4	6	114
5	7	116
6	8	116
7	9	113
8	11	114
9	12	112
10	13	111
11	15	110
12	16	109
13	17	107
14	18	106
15	19	104
16	21	103
17	22	101
18	23	100
19	25	100
20	26	98
21	27	96
22	28	94
23	29	92
24	30	91
25	31	89
26	32	88
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	56	59
49	58	58
50	59	57
51	60	56
52	62	55
53	63	54
54	64	53
55	66	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	46
61	73	44
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	99	19
84	101	17
85	102	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
